X,Y,OBJECTID,EGIS_ID,REG_ID,BSTP_GEO_ID,BSTP_OPS_TCD,BSTP_EFF_DATE,BSTP_TCD,AT_STR,ON_STR,BSTP_HDG,BSTP_POS_TCD,BSTP_LDC,BSTP_MSG_TEXT,BSTP_LAT_LON_TCD,BSTP_INV_SYR_TCD,BSTP_INV_SRV_DATE,BSTP_BNH_CNT,BSTP_BST_TCD,BSTP_IFC_OWN,BSTP_HAS_BKRS,BSTP_HAS_PRS,BSTP_HAS_PVM,BSTP_HAS_PRM,BSTP_PDP_SIZE_TCD,BSTP_PDP_MTR_TCD,BSTP_PDP_OBS_TCD,BSTP_PDP_HAS_CCN,BSTP_HAS_BDR_PDP,BSTP_BDR_PDP_OBS,BSTP_SWK_WDT,BSTP_SWK_HAS_CCN,BSTP_SWK_HAS_PPC,BSTP_SWK_SLP_WVL,BSTP_SWK_OBS_TCD,BSTP_SWK_IPD_TCD,ONS_CRP_SLP,ONS_CRP,OFS_CRP,AT_STR_ABS_CRP,AT_STR_OSS_CRP,ONS_CWK,OFS_CWK,AT_STR_ABS_CWK,AT_STR_OSS_CWK,ON_STR_STS_OR_TFL,ON_STR_PDC_SGL,AT_STR_PDC_SGL,BSTP_PRK_RST_TCD,BSTP_NPK_ZNE_LTH,CNF_NPK_SNS,STR_LGT_WTN_30_FT,BSTP_HAS_LED_DSP,BSTP_ACC_RATING,BSTP_BRDG_STP,BSTP_HAS_LUM_SIGN,BSTP_HAS_PWR_SRC,METRO_ACCS_STP,BSTP_LON,BSTP_LAT
-76.9481812616703,38.8687437852299,31,1303560,1000440,3824,PRS,1974/12/30 05:00:00+00,REV,Q ST SE,ALABAMA AVE SE,36,NEA,APPROX 65' N OF -,ALABAMA AVE SE + Q ST SE,,KFH,2006/05/25 04:00:00+00,0,UNK,WMAT,N,Y,N,Y,58O,CON,MLB,Y,Y,U,3,N,Y,N,NON,UNK,3.40000009536743,N,N,Y,N,Y,Y,Y,U,Y,N,N,YUN,,U,Y,U,N,U,U,U,U,-76.948179,38.868736
-76.9265942656497,38.9283687951529,32,1301618,3001324,7478,PRS,1901/01/01 05:00:00+00,UNK,MOSAIC BUILDING,VIEWPOINT PL,194,NEA,30' S OF PEPCO POLE #867696,VIEWPOINT PL + MOSAIC BUILDING,,WSV,2017/01/23 19:23:53+00,0,EXM,NAPP,N,N,E,N,NON,EXM,EXM,E,N,E,0,E,E,E,EXM,EXM,0,N,N,N,N,N,N,N,N,N,N,N,NPL,0,N,N,N,N,U,N,N,U,-76.926592,38.928361
-76.9766692774734,38.8988257915969,33,1307843,1001088,5758,PRS,1975/11/18 05:00:00+00,REV,19TH ST NE,BENNING RD NE,102,NEA,LIMITED STOP EXPRESS,BENNING RD NE + 19TH ST NE,,KFH,2009/07/16 04:00:00+00,1,INS,UNKW,N,N,N,N,58O,CON,TRC,Y,Y,U,5,N,Y,N,NON,UNK,5.30000019073486,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,NPL,,N,Y,Y,N,U,Y,U,U,-76.976667,38.898818
-76.8685392516303,38.9472437978051,34,1310367,3003144,14946,PRS,1980/09/02 04:00:00+00,REV,GARDEN CITY DR,CORPORATE DR,155,FAR,100' S OF,CORPORATE DR + GARDEN CITY DR,,KFH,2006/09/18 04:00:00+00,0,UNK,UNKW,N,N,N,N,58U,CON,NON,Y,N,E,5,Y,Y,N,NON,UNK,7.09999990463257,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,,N,Y,U,Y,U,U,U,U,-76.868537,38.947236
-76.8864152525426,38.9207757933175,35,1301484,3003140,14942,PRS,1989/09/03 04:00:00+00,UNK,FLAGSTAFF ST,KENT VILLAGE DR,26,UNK,@ CORNER,KENT VILLAGE DR + FLAGSTAFF ST,,WSV,2017/01/30 18:44:15+00,0,EXM,NAPP,N,N,E,N,NON,EXM,EXM,E,N,E,4,Y,E,Y,NON,NON,5.90000009536743,Y,Y,N,N,Y,Y,N,N,N,N,N,NPL,0,N,N,N,N,U,N,N,U,-76.886413,38.920768
-77.2395223583079,38.8060877566543,36,1305257,5001807,11622,PRS,1975/09/29 04:00:00+00,REV,PARLIAMENT DR,SOUTHAMPTON DR,6,NEA,UNKNOWN,SOUTHAMPTON DR + PARLIAMENT DR,,KFH,2012/05/10 04:00:00+00,0,UNK,NAPP,N,N,N,N,SWK,CON,NON,N,N,E,2,N,Y,Y,LSC,NON,5.80000019073486,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,NSG,35,N,N,N,N,U,U,U,U,-77.23952,38.80608
-77.2053993525945,38.9262517834426,37,1305902,5001643,7377,PRS,1901/01/01 05:00:00+00,UNK,DOLLEY MADISON BLVD,ANDERSON RD,135,UNK,UNKNOWN,ANDERSON RD + DOLLEY MADISON BLVD,,KFH,2012/03/27 04:00:00+00,0,UNK,WMAT,N,Y,N,Y,58U,CON,NON,Y,Y,N,4,N,Y,Y,NON,NON,4.5,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,NPL,150,N,N,N,N,U,U,U,U,-77.205397,38.926244
-77.2035543436807,38.9254927889211,38,1305900,5001636,7322,PRS,1901/01/01 05:00:00+00,REV,AMBERGATE PL,ANDERSON RD,103,NEA,UNKNOWN,ANDERSON RD + AMBERGATE PL,,KFH,2012/03/27 04:00:00+00,0,UNK,NAPP,N,N,N,N,<58,CON,NON,Y,N,E,4,N,Y,Y,NON,NON,3.29999995231628,N,N,Y,Y,N,N,N,N,N,N,N,NPL,150,N,N,N,N,U,U,U,U,-77.203552,38.925485
-77.2013093420072,38.9241487866022,39,1305898,5001629,7252,PRS,1901/01/01 05:00:00+00,REV,COLSHIRE DR,ANDERSON RD,141,NEA,UNKNOWN,ANDERSON RD + COLSHIRE DR,,KFH,2012/03/27 04:00:00+00,0,UNK,NAPP,N,N,N,N,<58,CON,NWB,Y,N,E,4,N,N,Y,NON,NON,2.70000004768372,N,N,Y,Y,N,N,N,N,N,N,N,NPL,150,N,N,N,N,U,U,U,U,-77.201307,38.924141
-77.2006623504774,38.9218357818131,40,1305896,5001617,7128,PRS,1980/03/13 04:00:00+00,REV,DARTFORD DR,ANDERSON RD,159,FAR,UNKNOWN,ANDERSON RD + DARTFORD DR,,KFH,2012/03/27 04:00:00+00,0,UNK,NAPP,N,N,N,N,SWK,CON,NON,N,N,E,4,N,N,Y,NON,NON,9.5,N,N,Y,Y,N,N,N,N,N,N,N,NSG,150,N,N,N,N,U,U,U,U,-77.20066,38.921828
